rank,name,team_id
1,Giannis Antetokounmpo,17
2,LeBron James,6
3,Stephen Curry,10
4,Clint Capela,11
5,Victor Oladipo,12
6,Karl-Anthony Towns,18
7,Anthony Davis,19
8,James Harden,11
9,LaMarcus Aldridge,27
10,Nikola Vucevic,22
11,Marc Gasol,15
12,DeMarcus Cousins,19
13,Tobias Harris,9
14,Andre Drummond,9
15,Darren Collison,12
16,Kevin Durant,10
17,Russell Westbrook,21
18,DeMar DeRozan,28
19,Steven Adams,21
20,Blake Griffin,13
21,Evan Fournier,22
22,Eric Gordon,11
23,Rudy Gobert,29
24,CJ McCollum,25
25,Rondae Hollis-Jefferson,3
26,Klay Thompson,10
27,Kemba Walker,4
28,DeMarre Carroll,3
29,Damian Lillard,25
30,Bradley Beal,30
31,Rudy Gay,27
32,Ben Simmons,23
33,Aaron Gordon,22
34,Reggie Jackson,9
35,John Wall,30
36,Robert Covington,23
37,Goran Dragic,16
38,Nerlens Noel,7
39,Mike Conley,15
40,Joel Embiid,23
41,J.J. Barea,7
42,Enes Kanter,20
43,D.J. Augustin,22
44,Andrew Wiggins,18
45,Carmelo Anthony,21
46,Jakob Poeltl,28
47,James Johnson,16
48,Danny Green,27
49,Ed Davis,25
50,John Collins,1
51,Kevin Love,6
52,Trevor Booker,3
53,Domantas Sabonis,12
54,Dennis Schroder,1
55,DeAndre Jordan,13
56,Terry Rozier,2
57,David West,10
58,Jeff Green,6
59,Kenneth Faried,8
60,Willie Cauley-Stein,26
61,Hassan Whiteside,16
62,Robin Lopez,5
63,Allen Crabbe,3
64,Evan Turner,25
65,Joe Ingles,29
66,Kristaps Porzingis,20
67,Frank Kaminsky,4
68,Al Horford,2
69,Nemanja Bjelica,18
70,Kyrie Irving,2
71,Jayson Tatum,2
72,Kyle Korver,6
73,Dejounte Murray,27
74,Al Jefferson,12
75,Will Barton,8
76,Garrett Temple,26
77,Devin Booker,24
78,Ricky Rubio,29
79,Al-Farouq Aminu,25
80,Myles Turner,12
81,Lou Williams,13
82,Marcin Gortat,30
83,Jeff Teague,18
84,Jonas Valanciunas,28
85,Langston Galloway,9
86,Jordan Clarkson,14
87,Dwight Howard,4
88,Nikola Jokic,8
89,Spencer Dinwiddie,3
90,Rodney Hood,29
91,Jordan Bell,10
92,Jamal Crawford,18
93,Patrick Beverley,13
94,Ian Clark,19
95,Skal Labissiere,26
96,Cory Joseph,12
97,Pascal Siakam,28
98,Jaylen Brown,2
99,Mike James,24
100,Nick Young,10
101,Willie Reed,13
102,Malcolm Brogdon,17
103,Tyson Chandler,24
104,Kelly Olynyk,16
105,TJ Warren,24
106,Serge Ibaka,28
107,Yogi Ferrell,7
108,Alex Len,24
109,Brook Lopez,14
110,Paul George,21
111,Kyle Kuzma,14
112,Derrick Favors,29
113,Tyreke Evans,15
114,Jodie Meeks,30
115,Lucas Nogueira,28
116,Raymond Felton,21
117,Wayne Ellington,16
118,Marco Belinelli,1
119,Tony Snell,17
120,Thaddeus Young,12
121,CJ Miles,28
122,Jeremy Lamb,4
123,Kent Bazemore,1
124,Henry Ellenson,9
125,Shabazz Napier,25
126,Manu Ginobili,27
127,Justin Holiday,5
128,Wesley Johnson,13
129,Buddy Hield,26
130,Julius Randle,14
131,Pat Connaughton,25
132,Ian Mahinmi,30
133,Quincy Pondexter,5
134,John Henson,17
135,Jarrett Allen,3
136,OG Anunoby,28
137,Avery Bradley,9
138,Derrick Rose,6
139,Gorgui Dieng,18
140,Malik Beasley,8
141,Eric Bledsoe,24
142,Draymond Green,10
143,Alec Burks,29
144,Daniel Theis,2
145,Mason Plumlee,8
146,Dion Waiters,16
147,Taurean Prince,1
148,Aron Baynes,2
149,Mirza Teletovic,17
150,Joe Harris,3
151,Kyle Anderson,27
152,Jonathon Simmons,22
153,Delon Wright,28
154,Tristan Thompson,6
155,Shane Larkin,2
156,Greg Monroe,17
157,Jerian Grant,5
158,Pau Gasol,27
159,Tim Frazier,30
160,Lauri Markkanen,5
161,Tyler Johnson,16
162,Thabo Sefolosha,29
163,Chandler Parsons,15
164,Kyle Lowry,28
165,Brandan Wright,15
166,Joe Johnson,29
167,Jerami Grant,21
168,Elfrid Payton,22
169,Paul Millsap,8
170,Harrison Barnes,7
171,Sam Dekker,13
172,Timofey Mozgov,3
173,Brandon Ingram,14
174,Josh Richardson,16
175,Jonathan Isaac,22
176,Doug McDermott,20
177,Gary Harris,8
178,George Hill,26
179,Jerryd Bayless,23
180,JJ Redick,23
181,T.J. McConnell,23
182,Ekpe Udoh,29
183,Jordan Mickey,16
184,Zaza Pachulia,10
185,Iman Shumpert,6
186,Dewayne Dedmon,1
187,Bismack Biyombo,22
188,Josh Hart,14
189,Chris Paul,11
190,Jusuf Nurkic,25
191,Kosta Koufos,26
192,Jordan Crawford,19
193,Tyler Ulis,24
194,Ryan Anderson,11
195,Danilo Gallinari,13
196,Joffrey Lauvergne,27
197,Michael Beasley,20
198,Wesley Matthews,7
199,Gian Clavell,7
200,Caleb Swanigan,25
201,Shaun Livingston,10
202,Marquese Chriss,24
203,Khris Middleton,17
204,Dwight Powell,7
205,Mike Muscala,1
206,Ron Baker,20
207,Mario Hezonja,22
208,Caris LeVert,3
209,Anthony Tolliver,9
210,Milos Teodosic,13
211,Lonzo Ball,14
212,Luke Babbitt,1
213,Justise Winslow,16
214,Patrick McCaw,10
215,Norman Powell,28
216,Jimmy Butler,18
217,Brandon Paul,27
218,Dillon Brooks,15
219,Dwayne Bacon,4
220,Shelvin Mack,22
221,Marcus Smart,2
222,Jae Crowder,6
223,Raul Neto,29
224,Luke Kennard,9
225,Denzel Valentine,5
226,Treveon Graham,4
227,Kay Felder,5
228,Justin Anderson,23
